label	species
hGB	human
hBB	human
hDB1	human
hDB2	human
hDB3a	human
hDB3b	human
hDB4a	human
hDB4b	human
hDB5	human
hDB6	human
hFMB	human
hIMB	human
hOFFx	human
hRB	human
aBB/GB*	macaque
aDB1	macaque
aDB2	macaque
aDB3a	macaque
aDB3b	macaque
aDB4	macaque
aDB5*	macaque
aDB6	macaque
aFMB	macaque
aIMB	macaque
aOFFx	macaque
aRB	macaque
mBC1A	mouse
mBC1B	mouse
mBC2	mouse
mBC3A	mouse
mBC3B	mouse
mBC4	mouse
mBC5A	mouse
mBC5B	mouse
mBC5C	mouse
mBC5D	mouse
mBC6	mouse
mBC7	mouse
mBC8	mouse
mBC9	mouse
mRBC	mouse
