cluster2	group4	group5	group6
HAC1	HAC1	unknown	Both
HAC10	ON-SAC	ON-SAC	GABAergic
HAC11	HAC11	unknown	GABAergic
HAC12	HAC12	unknown	Glycinergic
HAC13	HAC13	unknown	GABAergic
HAC14	HAC14	unknown	Glycinergic
HAC15	HAC15	unknown	Both
HAC16	HAC16	unknown	GABAergic
HAC17	SEG	SEG	Glycinergic
HAC18	HAC18	unknown	Glycinergic
HAC19	HAC19	unknown	GABAergic
HAC2	AII	AII	Glycinergic
HAC20	HAC20	unknown	GABAergic
HAC21	HAC21	unknown	GABAergic
HAC22	HAC22	unknown	GABAergic
HAC23	HAC23	unknown	GABAergic
HAC24	HAC24	unknown	GABAergic
HAC25	HAC25	unknown	GABAergic
HAC26	OFF-SAC	OFF-SAC	GABAergic
HAC27	PENK	PENK	GABAergic
HAC28	VIP	VIP	GABAergic
HAC29	HAC29	unknown	GABAergic
HAC3	HAC3	unknown	GABAergic
HAC30	HAC30	unknown	GABAergic
HAC31	HAC31	unknown	Glycinergic
HAC32	HAC32	unknown	GABAergic
HAC33	HAC33	unknown	Glycinergic
HAC34	HAC34	unknown	GABAergic
HAC35	HAC35	unknown	GABAergic
HAC36	HAC36	unknown	GABAergic
HAC37	HAC37	unknown	GABAergic
HAC38	HAC38	unknown	GABAergic
HAC39	nNOS(HAC39)	nNOS(HAC39)	GABAergic
HAC4	HAC4	unknown	GABAergic
HAC40	HAC40	unknown	GABAergic
HAC41	HAC41	unknown	Glycinergic
HAC42	HAC42	unknown	GABAergic
HAC43	HAC43	unknown	GABAergic
HAC44	HAC44	unknown	GABAergic
HAC45	CAII	CAII	GABAergic
HAC46	nNOS(HAC46)	nNOS(HAC46)	GABAergic
HAC47	HAC47	unknown	GABAergic
HAC48	HAC48	unknown	GABAergic
HAC49	HAC49	unknown	GABAergic
HAC5	HAC5	unknown	GABAergic
HAC50	HAC50	unknown	Both
HAC51	HAC51	unknown	GABAergic
HAC52	HAC52	unknown	GABAergic
HAC53	HAC53	unknown	GABAergic
HAC54	HAC54	unknown	Both
HAC55	HAC55	unknown	GABAergic
HAC56	HAC56	unknown	GABAergic
HAC57	HAC57	unknown	GABAergic
HAC58	HAC58	unknown	GABAergic
HAC59	HAC59	unknown	Glycinergic
HAC6	VG3	VG3	Glycinergic
HAC60	nNOS(HAC60)	nNOS(HAC60)	GABAergic
HAC61	HAC61	unknown	Both
HAC62	AII*	AII*	Glycinergic
HAC63	HAC63	unknown	Both
HAC64	HAC64	unknown	GABAergic
HAC65	HAC65	unknown	GABAergic
HAC66	HAC66	unknown	GABAergic
HAC68	HAC68	unknown	GABAergic
HAC69	HAC69	unknown	GABAergic
HAC7	HAC7	unknown	GABAergic
HAC70	HAC70	unknown	GABAergic
HAC71	OFF-SAC*	OFF-SAC*	GABAergic
HAC72	CAI	CAI	GABAergic
HAC73	HAC73	unknown	GABAergic
HAC74	HAC74	unknown	Both
HAC8	HAC8	unknown	GABAergic
HAC9	HAC9	unknown	GABAergic
